epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/mad_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),metrics/madurez_acc,metrics/madurez_f1,val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/mad_loss,lr/pg0,lr/pg1,lr/pg2
24,537.055,0.71399,1.41943,0.72478,1.18267,0,0.89704,0.78515,0.72172,0.75079,0.59971,0.80031,0.67195,0.69857,0.59193,0.61966,0.61145,0.68758,1.54623,0.73623,1.18206,0,0.84293,0.00128742,0.00128742,0.00128742
25,557.747,0.73081,1.41783,0.72042,1.19404,0,0.85806,0.77421,0.71493,0.72328,0.59555,0.75227,0.70136,0.7008,0.59385,0.65812,0.63996,0.6785,1.46347,0.74407,1.19202,0,0.79302,0.00127092,0.00127092,0.00127092
26,578.841,0.69618,1.37069,0.70063,1.17316,0,0.8496,0.79535,0.70835,0.74541,0.61393,0.78807,0.69621,0.71885,0.60476,0.61111,0.59808,0.63992,1.42267,0.67854,1.15325,0,0.83097,0.00125442,0.00125442,0.00125442
27,599.988,0.70528,1.3301,0.72367,1.184,0,0.8598,0.82062,0.70814,0.75928,0.62337,0.77975,0.681,0.71378,0.60967,0.63675,0.62174,0.6477,1.45253,0.68213,1.171,0,0.82159,0.00123791,0.00123791,0.00123791
28,619.682,0.6882,1.33003,0.69109,1.17779,0,0.85228,0.81221,0.70362,0.74684,0.6115,0.77337,0.69457,0.71956,0.60807,0.49573,0.4185,0.65062,1.43283,0.67168,1.15469,0,1.08261,0.00122141,0.00122141,0.00122141
29,639.491,0.67678,1.37064,0.67546,1.1653,0,0.82053,0.77672,0.71946,0.74952,0.61569,0.75303,0.70136,0.70816,0.60444,0.54701,0.52275,0.63803,1.40485,0.68869,1.15011,0,1.01719,0.00120491,0.00120491,0.00120491
30,659.422,0.68131,1.35187,0.68447,1.15914,0,0.81528,0.81761,0.7221,0.76446,0.61903,0.76759,0.68816,0.72205,0.60858,0.55128,0.51809,0.68515,1.47774,0.7615,1.19069,0,0.95966,0.0011884,0.0011884,0.0011884
31,679.196,0.6877,1.31379,0.68224,1.1623,0,0.8606,0.7625,0.72624,0.74276,0.61653,0.77431,0.70362,0.72963,0.61621,0.5812,0.55473,0.64336,1.37517,0.6844,1.15211,0,0.9876,0.0011719,0.0011719,0.0011719
32,699.47,0.67037,1.30161,0.66073,1.15279,0,0.84408,0.82268,0.73433,0.75513,0.62132,0.79207,0.70814,0.72519,0.61616,0.59402,0.56584,0.66585,1.48178,0.7083,1.18978,0,0.84338,0.0011554,0.0011554,0.0011554
33,719.515,0.67901,1.31002,0.66472,1.15659,0,0.78394,0.78633,0.71946,0.75089,0.61343,0.79412,0.68942,0.73014,0.61241,0.63248,0.59702,0.65009,1.45341,0.71749,1.15783,0,0.80312,0.00113889,0.00113889,0.00113889
