epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/mad_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),metrics/madurez_acc,metrics/madurez_f1,val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/mad_loss,lr/pg0,lr/pg1,lr/pg2
24,507.424,0.6908,1.30447,0.7177,1.19815,0,0.8662,0.77259,0.69583,0.73142,0.60693,0.7211,0.70507,0.70811,0.59807,0.56897,0.55412,0.65069,1.38586,0.67648,1.17536,0,0.8243,0.00128742,0.00128742,0.00128742
25,527.041,0.70647,1.35546,0.73152,1.20367,0,0.84647,0.7581,0.71659,0.73925,0.59646,0.75181,0.68664,0.69335,0.59288,0.55603,0.50595,0.66305,1.36963,0.71089,1.17759,0,0.95015,0.00127092,0.00127092,0.00127092
26,547.978,0.70518,1.32569,0.72426,1.18967,0,0.86743,0.76422,0.70276,0.73839,0.60121,0.74649,0.68051,0.71111,0.60035,0.48276,0.43047,0.6857,1.37838,0.72327,1.18255,0,0.98098,0.00125442,0.00125442,0.00125442
27,569.992,0.69787,1.2852,0.71363,1.19556,0,0.84344,0.82503,0.69585,0.746,0.61554,0.80197,0.68203,0.71571,0.60826,0.62069,0.59975,0.61438,1.334,0.66304,1.15303,0,0.79266,0.00123791,0.00123791,0.00123791
28,590.695,0.69541,1.27037,0.69897,1.18907,0,0.84487,0.77352,0.70046,0.73117,0.60752,0.78308,0.68433,0.71558,0.60586,0.64224,0.61814,0.6387,1.33164,0.70062,1.17599,0,0.81323,0.00122141,0.00122141,0.00122141
29,610.306,0.70172,1.28283,0.70806,1.19185,0,0.81802,0.82478,0.69816,0.74295,0.61442,0.7878,0.67512,0.7064,0.60484,0.63362,0.6154,0.63422,1.35005,0.66493,1.15526,0,0.8442,0.00120491,0.00120491,0.00120491
30,629.866,0.70007,1.26635,0.66618,1.17791,0,0.84565,0.82375,0.70507,0.75485,0.60639,0.77044,0.71464,0.73536,0.60756,0.60345,0.59211,0.66196,1.36566,0.66959,1.18012,0,0.86886,0.0011884,0.0011884,0.0011884
31,649.672,0.6882,1.24465,0.67731,1.18262,0,0.83426,0.77043,0.73041,0.75952,0.62214,0.76333,0.70046,0.72997,0.61694,0.625,0.61047,0.63696,1.3421,0.65448,1.15216,0,0.76943,0.0011719,0.0011719,0.0011719
32,670.006,0.67787,1.26394,0.6756,1.16776,0,0.83935,0.80882,0.70507,0.75286,0.62383,0.81849,0.66681,0.72115,0.6167,0.64224,0.6044,0.65136,1.31913,0.70161,1.18093,0,0.84578,0.0011554,0.0011554,0.0011554
33,689.354,0.67606,1.26438,0.67679,1.16473,0,0.83414,0.78393,0.72552,0.76173,0.62079,0.78661,0.71321,0.74134,0.62033,0.62069,0.58556,0.673,1.33162,0.71258,1.18013,0,0.8454,0.00113889,0.00113889,0.00113889
