epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/mad_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),metrics/madurez_acc,metrics/madurez_f1,val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/mad_loss,lr/pg0,lr/pg1,lr/pg2
24,2684.56,0.39143,0.55523,0.29552,0.95024,0,0.67808,0.84407,0.74424,0.7841,0.64071,0.83445,0.7212,0.75544,0.63015,0.65948,0.64081,0.61011,1.41288,0.55897,1.13897,0,0.73876,0.00128742,0.00128742,0.00128742
25,2795.06,0.39251,0.56416,0.29665,0.95157,0,0.68437,0.88533,0.74424,0.79176,0.64954,0.7926,0.72361,0.73875,0.62901,0.66379,0.65405,0.61477,1.42326,0.54977,1.15516,0,0.74392,0.00127092,0.00127092,0.00127092
26,2906.01,0.38847,0.53873,0.29618,0.94435,0,0.67116,0.84877,0.73041,0.77378,0.64513,0.82465,0.71429,0.74869,0.63077,0.67672,0.66167,0.62134,1.40982,0.57442,1.17375,0,0.76686,0.00125442,0.00125442,0.00125442
27,3016.81,0.38574,0.55139,0.2943,0.93991,0,0.6762,0.80907,0.76959,0.78378,0.64511,0.77884,0.74654,0.75706,0.63523,0.64655,0.62604,0.61737,1.32565,0.5863,1.16452,0,0.88877,0.00123791,0.00123791,0.00123791
28,3128.22,0.37776,0.5391,0.28187,0.93697,0,0.67663,0.8266,0.74424,0.77504,0.63899,0.8078,0.7212,0.74361,0.62381,0.72414,0.70299,0.62266,1.42736,0.55435,1.16661,0,0.64837,0.00122141,0.00122141,0.00122141
29,3243.58,0.38134,0.53767,0.28696,0.94344,0,0.66382,0.81134,0.74654,0.7765,0.64954,0.78552,0.72811,0.74444,0.63045,0.64655,0.63422,0.61311,1.40372,0.5507,1.16584,0,0.7606,0.00120491,0.00120491,0.00120491
30,3355.9,0.37945,0.53252,0.28727,0.94166,0,0.63862,0.81909,0.7512,0.77507,0.64075,0.83139,0.71659,0.75965,0.63534,0.68966,0.68319,0.61118,1.38486,0.56587,1.15825,0,0.66369,0.0011884,0.0011884,0.0011884
31,3465.6,0.38241,0.53013,0.28395,0.94065,0,0.64665,0.82895,0.75576,0.78973,0.64767,0.79382,0.73733,0.75431,0.63544,0.69397,0.67383,0.61931,1.35867,0.57532,1.15659,0,0.71147,0.0011719,0.0011719,0.0011719
32,3570.71,0.37696,0.54187,0.27916,0.9371,0,0.63999,0.84131,0.75806,0.78636,0.64589,0.80959,0.73272,0.75131,0.63193,0.69828,0.69856,0.61775,1.40108,0.57668,1.16302,0,0.68464,0.0011554,0.0011554,0.0011554
33,3675.41,0.38301,0.53433,0.28613,0.94045,0,0.64048,0.87049,0.75576,0.78739,0.65349,0.83397,0.7235,0.7555,0.63744,0.65517,0.63681,0.60636,1.34278,0.55791,1.15037,0,0.78087,0.00113889,0.00113889,0.00113889
34,3780.03,0.38127,0.5328,0.28338,0.9374,0,0.64175,0.84536,0.75643,0.7914,0.65145,0.81661,0.73041,0.75936,0.63802,0.68534,0.67697,0.64641,1.3546,0.58542,1.19803,0,0.67507,0.00112239,0.00112239,0.00112239
35,3884.55,0.38073,0.54291,0.28429,0.94398,0,0.62066,0.83905,0.76037,0.78732,0.65322,0.79252,0.73502,0.75815,0.63606,0.69828,0.68333,0.62176,1.36436,0.55847,1.17249,0,0.7031,0.00110589,0.00110589,0.00110589
36,3992.4,0.36559,0.51604,0.27379,0.92829,0,0.63231,0.83966,0.73733,0.76826,0.64145,0.82838,0.73502,0.75782,0.63631,0.68534,0.67201,0.59606,1.39921,0.55438,1.15163,0,0.78443,0.00108938,0.00108938,0.00108938
37,4106.95,0.36739,0.52024,0.26732,0.93048,0,0.6157,0.85617,0.77279,0.80276,0.65252,0.80762,0.75346,0.76313,0.63765,0.67241,0.64537,0.62196,1.35315,0.55812,1.17055,0,0.84443,0.00107288,0.00107288,0.00107288
38,4219.44,0.36166,0.5154,0.26761,0.92922,0,0.60934,0.85132,0.75046,0.7946,0.65359,0.82734,0.74026,0.76769,0.6382,0.68966,0.67717,0.61381,1.36779,0.5531,1.17139,0,0.78278,0.00105638,0.00105638,0.00105638
39,4330.21,0.35537,0.51128,0.26527,0.92449,0,0.61466,0.87238,0.77189,0.80234,0.65279,0.84804,0.75346,0.77222,0.64144,0.66379,0.63416,0.61739,1.31364,0.53633,1.16846,0,0.87243,0.00103987,0.00103987,0.00103987
40,4440.99,0.36541,0.51238,0.26627,0.92858,0,0.61234,0.83162,0.77616,0.79811,0.65621,0.82005,0.76589,0.77281,0.64107,0.73276,0.72554,0.59723,1.35189,0.5323,1.14853,0,0.67572,0.00102337,0.00102337,0.00102337
41,4558.81,0.36426,0.50725,0.26905,0.92561,0,0.60626,0.84195,0.77189,0.79137,0.65507,0.83497,0.72237,0.76383,0.64063,0.6681,0.65132,0.58683,1.41949,0.53416,1.14447,0,0.758,0.00100687,0.00100687,0.00100687
42,4676.44,0.36166,0.50475,0.2661,0.92402,0,0.60027,0.87859,0.75115,0.80657,0.65839,0.83297,0.71889,0.7642,0.63918,0.71983,0.70553,0.59835,1.36414,0.55272,1.15896,0,0.67221,0.000990365,0.000990365,0.000990365
43,4800.62,0.36179,0.50826,0.26856,0.92737,0,0.58846,0.85563,0.76728,0.80278,0.65508,0.82729,0.73502,0.77237,0.63983,0.68534,0.67666,0.61195,1.35602,0.53336,1.15993,0,0.78463,0.000973861,0.000973861,0.000973861
44,4915.49,0.36119,0.5044,0.26841,0.92765,0,0.60889,0.84884,0.75576,0.79479,0.65158,0.85295,0.73272,0.77065,0.63721,0.7069,0.69744,0.58474,1.34419,0.53717,1.13683,0,0.69405,0.000957358,0.000957358,0.000957358
45,5037.98,0.35556,0.49429,0.26805,0.92469,0,0.5842,0.85552,0.76728,0.80227,0.6532,0.83118,0.74885,0.77361,0.63985,0.73276,0.72913,0.60545,1.35439,0.55876,1.15991,0,0.65851,0.000940855,0.000940855,0.000940855
46,5157.24,0.34922,0.49612,0.26022,0.92258,0,0.55116,0.84564,0.79032,0.81208,0.65526,0.79408,0.76267,0.77334,0.64289,0.71983,0.71698,0.63116,1.39286,0.55627,1.17851,0,0.66292,0.000924352,0.000924352,0.000924352
47,5274.37,0.35471,0.50322,0.25791,0.92672,0,0.58066,0.84397,0.78341,0.8126,0.66409,0.81519,0.76728,0.78161,0.64245,0.71552,0.70522,0.59441,1.34737,0.5402,1.15813,0,0.7174,0.000907848,0.000907848,0.000907848
48,5394.64,0.34906,0.49768,0.25428,0.91988,0,0.57738,0.82991,0.77665,0.80349,0.6582,0.79015,0.76037,0.77113,0.64268,0.72845,0.7163,0.60171,1.38191,0.52234,1.17133,0,0.70031,0.000891345,0.000891345,0.000891345
49,5512.31,0.34877,0.48593,0.25549,0.91981,0,0.55821,0.83047,0.78111,0.80853,0.66109,0.83171,0.73963,0.77882,0.64446,0.71121,0.70393,0.60909,1.35919,0.52373,1.17066,0,0.71134,0.000874842,0.000874842,0.000874842
50,5635.47,0.35162,0.48636,0.25625,0.91836,0,0.581,0.87696,0.75806,0.80478,0.66153,0.8493,0.73963,0.77267,0.64223,0.68966,0.67096,0.61353,1.41084,0.53076,1.18835,0,0.79343,0.000858338,0.000858338,0.000858338
51,5751.2,0.34803,0.48219,0.25523,0.91879,0,0.55534,0.8954,0.76959,0.81672,0.66159,0.81998,0.77004,0.77965,0.64216,0.71121,0.69786,0.60108,1.37156,0.52711,1.16038,0,0.74625,0.000841835,0.000841835,0.000841835
