epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/mad_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),metrics/madurez_acc,metrics/madurez_f1,val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/mad_loss,lr/pg0,lr/pg1,lr/pg2
24,522.441,0.70687,1.94191,0.7267,1.19382,0,0.91128,0.81592,0.72419,0.74934,0.60592,0.76934,0.68104,0.69623,0.46984,0.51464,0.47479,0.69981,2.16927,0.76114,1.19423,0,1.0197,0.00128742,0.00128742,0.00128742
25,542.513,0.70017,1.94676,0.72887,1.18142,0,0.88963,0.8132,0.72284,0.75415,0.61568,0.76933,0.69608,0.70063,0.48985,0.61925,0.60708,0.63539,2.14932,0.71017,1.15608,0,0.86376,0.00127092,0.00127092,0.00127092
26,562.539,0.68937,1.9679,0.72037,1.17808,0,0.86175,0.73582,0.73496,0.73969,0.60751,0.71775,0.71659,0.71527,0.50393,0.63598,0.59653,0.6751,2.03938,0.70162,1.16396,0,0.79736,0.00125442,0.00125442,0.00125442
27,582.894,0.68779,1.91201,0.70557,1.1686,0,0.87251,0.78919,0.70238,0.74031,0.59573,0.76734,0.66967,0.70325,0.48848,0.61088,0.58225,0.65879,2.04325,0.69639,1.16624,0,0.83442,0.00123791,0.00123791,0.00123791
28,603.386,0.68409,1.93124,0.69225,1.17598,0,0.87941,0.78497,0.71103,0.75329,0.61315,0.73956,0.68731,0.71582,0.49309,0.61088,0.56283,0.64917,2.10856,0.68075,1.15495,0,0.80552,0.00122141,0.00122141,0.00122141
29,623.775,0.67672,1.90397,0.69112,1.15686,0,0.89249,0.78578,0.70776,0.73659,0.60407,0.74282,0.6613,0.68968,0.48986,0.53556,0.53248,0.71389,2.14844,0.73947,1.18836,0,0.98248,0.00120491,0.00120491,0.00120491
30,644.018,0.70735,1.92665,0.70547,1.19156,0,0.85784,0.78472,0.73735,0.75765,0.61249,0.72768,0.69899,0.68623,0.4786,0.58159,0.56393,0.66182,2.09839,0.70055,1.16266,0,0.83845,0.0011884,0.0011884,0.0011884
31,664.439,0.69531,1.90982,0.69415,1.17548,0,0.87716,0.76008,0.75708,0.75224,0.59808,0.71378,0.70373,0.69438,0.48834,0.61925,0.58643,0.6822,2.0702,0.69729,1.17978,0,0.88581,0.0011719,0.0011719,0.0011719
32,684.652,0.68484,1.88314,0.67845,1.17357,0,0.82876,0.83093,0.70025,0.75932,0.61051,0.77357,0.67831,0.71325,0.50711,0.59414,0.58829,0.65942,2.09512,0.68925,1.16285,0,0.85907,0.0011554,0.0011554,0.0011554
33,705.07,0.66884,1.8475,0.67825,1.16471,0,0.84452,0.74312,0.75708,0.7654,0.61815,0.71873,0.72449,0.72007,0.50879,0.58577,0.53684,0.64941,2.01491,0.6614,1.15296,0,0.84352,0.00113889,0.00113889,0.00113889
34,725.106,0.6926,1.91646,0.6816,1.1759,0,0.81395,0.76621,0.73735,0.76687,0.6149,0.7556,0.69154,0.71446,0.51019,0.61506,0.59498,0.65131,2.04415,0.69429,1.16024,0,0.79565,0.00112239,0.00112239,0.00112239
35,745.314,0.68666,1.91715,0.68824,1.17547,0,0.83939,0.73135,0.74931,0.7483,0.60947,0.68711,0.70695,0.69212,0.49026,0.5523,0.48617,0.66292,2.07256,0.70562,1.17049,0,0.96255,0.00110589,0.00110589,0.00110589
36,765.389,0.67343,1.81745,0.67176,1.15369,0,0.8424,0.8224,0.71614,0.76276,0.62128,0.82167,0.66997,0.71489,0.51305,0.62343,0.59608,0.66758,2.13298,0.68842,1.16501,0,0.80299,0.00108938,0.00108938,0.00108938
37,786.812,0.68221,1.84351,0.66823,1.16015,0,0.83815,0.78787,0.73138,0.76191,0.62323,0.73609,0.6916,0.70316,0.49868,0.60669,0.5868,0.65381,2.03369,0.67674,1.15455,0,0.8773,0.00107288,0.00107288,0.00107288
38,808.022,0.66199,1.82655,0.6656,1.14542,0,0.78608,0.7939,0.74612,0.76766,0.63266,0.73583,0.70266,0.71771,0.51404,0.60669,0.59818,0.626,2.02386,0.67839,1.14143,0,0.82308,0.00105638,0.00105638,0.00105638
39,828.696,0.67752,1.84237,0.6576,1.16982,0,0.82927,0.79274,0.73077,0.77179,0.62042,0.76223,0.69818,0.72982,0.50777,0.62343,0.58849,0.65945,2.06872,0.67579,1.16367,0,0.7706,0.00103987,0.00103987,0.00103987
40,848.457,0.66595,1.85149,0.66105,1.15797,0,0.78256,0.7539,0.71322,0.74165,0.61252,0.72108,0.67844,0.70291,0.49611,0.61925,0.59964,0.62999,2.05105,0.66917,1.14251,0,0.84672,0.00102337,0.00102337,0.00102337
41,868.367,0.66543,1.79069,0.65861,1.14909,0,0.79997,0.75956,0.74173,0.75825,0.62056,0.72508,0.70486,0.71749,0.50064,0.61925,0.60429,0.61576,2.04065,0.64364,1.12734,0,0.80423,0.00100687,0.00100687,0.00100687
42,888.405,0.65055,1.82566,0.63487,1.14157,0,0.79383,0.75069,0.75708,0.75725,0.62152,0.72385,0.69828,0.70899,0.5044,0.51883,0.49084,0.63877,2.05957,0.69903,1.14243,0,1.13093,0.000990365,0.000990365,0.000990365
43,908.568,0.6555,1.79136,0.64366,1.1517,0,0.81325,0.59834,0.67625,0.74262,0.60907,0.51288,0.69856,0.71132,0.46416,0.61925,0.56283,0.7346,2.20423,0.87301,1.21323,0,0.86189,0.000973861,0.000973861,0.000973861
44,928.785,0.64406,1.75152,0.61656,1.13609,0,0.79495,0.78635,0.7505,0.78154,0.63286,0.75246,0.72449,0.74078,0.51777,0.59414,0.57596,0.61827,2.0811,0.65028,1.12615,0,0.9293,0.000957358,0.000957358,0.000957358
45,948.731,0.65688,1.76437,0.62406,1.13822,0,0.77813,0.80676,0.73296,0.77345,0.63482,0.77962,0.71123,0.73789,0.51555,0.61088,0.60224,0.61817,2.00072,0.64289,1.12671,0,0.78769,0.000940855,0.000940855,0.000940855
46,968.991,0.64403,1.79459,0.61322,1.1277,0,0.79437,0.83468,0.722,0.77627,0.63146,0.8088,0.70256,0.74204,0.51422,0.56485,0.52646,0.61879,2.02139,0.67206,1.1439,0,0.88016,0.000924352,0.000924352,0.000924352
